Système;Site;Latitude;Longitude
BayofBiscay;Panache de la Gironde;45,50;-1,50
BayofBiscay;Côte;45,17;-1,50
BayofBiscay;Offshore;45,02;-2,33
Mediterranee_Baie_Bizerte;A;37,22;9,85
Mediterranee_Baie_Bizerte;B;37,15;9,82
Mediterranee_Baie_Bizerte;J;37,20;9,89
Mediterranee_Baie_Bizerte;R;37,18;9,85
Marais_desseches_Charente_Maritime;6;46,26;-0,98
Marais_desseches_Charente_Maritime;13;46,26;-1,11
Marais_desseches_Charente_Maritime;20;46,08;-1,08
Marais_desseches_Charente_Maritime;39;46,06;-1,02
Polynesie_Atoll_Takapoto;Takapoto;-14,67;-145,17
Bassin_Arcachon_interne;Comprian;44,66;-1,07
Sargasse_center_gyres;C;29,70;-64,10
Sargasse_edge_gyres;E;30,50;-64,15
Sargasse_Bermuda;B;31,67;-64,17
Arabian_Sea;N7;19,33;67,17
Arabian_Sea;S11;14,75;65,00
Arabian_Sea;TS1;18,13;58,00
Pacifique_equatorial;TS;0,00;140,00
Mer_Floride;Baie de Floride;25,00;-81,17
Bassin_Marennes_Oleron;Marennes;46,01;-1,17
